Chemical_Substance,HF298 (kJ/mol),Uncertainty (kJ/mol),Coefficient_1 (High-temperature; T in Kelvin),Coefficient_2 (High-temperature; T in Kelvin),Coefficient_3 (High-temperature; T in Kelvin),Coefficient_4 (High-temperature; T in Kelvin),Coefficient_5 (High-temperature; T in Kelvin),Coefficient_6 (High-temperature; T in Kelvin),Coefficient_7 (High-temperature; T in Kelvin),Coefficient_1 (Low-temperature; T in Kelvin),Coefficient_2 (Low-temperature; T in Kelvin),Coefficient_3 (Low-temperature; T in Kelvin),Coefficient_4 (Low-temperature; T in Kelvin),Coefficient_5 (Low-temperature; T in Kelvin),Coefficient_6 (Low-temperature; T in Kelvin),Coefficient_7 (Low-temperature; T in Kelvin),Reference_Code,References,References_for_Additional_Information
Ar+,1526.778,9.85E-4 ,2.88112242E+00,-1.61448253E-04,1.88408792E-08,1.05317052E-12,-2.29902592E-16,1.82698356E+05,3.47046630E+00,2.58499602E+00,-1.27110792E-03,5.12646199E-06,-5.84033673E-09,2.13932496E-12,1.82879208E+05,5.48412539E+00,g,"C.E. MOORE ""ATOMIC ENERGY LEVELS"" NSRDS-NBS 35 (1971)",REF=ATCT A
B,560.0,12 ,2.49860273E+00,1.40267322E-06,1.09458278E-09,-1.20006414E-12,2.43121994E-16,6.66075914E+04,4.21887979E+00,2.51054099E+00,-6.23801328E-05,1.42178099E-07,-1.41697796E-10,5.15018749E-14,6.66053894E+04,4.16367209E+00,J,JANAF,No Additional Information Provided
BCl,141.4,NaN,4.10205710E+00,4.86591930E-04,-1.88643260E-07,3.58333420E-11,-2.50990690E-15,1.56879580E+04,1.95525119E+00,2.83644630E+00,4.43688120E-03,-4.38875220E-06,1.51610780E-09,3.26461950E-14,1.60013610E+04,8.34533209E+00,J,JANAF,No Additional Information Provided
BClF,-314.0,29 ,5.70767570E+00,1.41002030E-03,-6.01141370E-07,1.13670440E-10,-7.93680630E-15,-3.96933270E+04,-1.53503845E+00,3.31202340E+00,7.41987630E-03,-4.34859490E-06,-1.13740570E-09,1.37638900E-12,-3.90175480E+04,1.09483562E+01,J,JANAF,No Additional Information Provided
BCl2,-79.5,12.6 ,6.44598380E+00,5.79279480E-04,-2.60497050E-07,6.35963580E-11,-5.39822150E-15,-1.16613040E+04,-4.46086977E+00,3.29747860E+00,1.20825760E-02,-1.61237550E-05,9.62658560E-09,-2.05991990E-12,-1.09565370E+04,1.10425333E+01,J,JANAF,No Additional Information Provided
BCl3,-403.0,2.1 ,8.59853800E+00,1.55319230E-03,-6.70006020E-07,1.27891120E-10,-9.00000590E-15,-5.13570710E+04,-1.51584297E+01,3.73952650E+00,1.81058130E-02,-2.13404610E-05,1.08283350E-08,-1.73259670E-12,-5.02146090E+04,9.05312747E+00,J,JANAF,No Additional Information Provided
BF,-115.9,13.8 ,3.57718880E+00,1.01929080E-03,-4.12515640E-07,7.71964380E-11,-5.34987410E-15,-1.51272640E+04,3.26612227E+00,3.46136090E+00,-9.56854680E-04,6.01357440E-06,-6.49780570E-09,2.23553490E-12,-1.49698200E+04,4.46077947E+00,J,JANAF,No Additional Information Provided
BF2,-589.9,13 ,5.44474570E+00,1.75332110E-03,-7.84444740E-07,1.57198590E-10,-1.13110710E-14,-7.28603670E+04,-2.27331909E+00,3.03093030E+00,7.24110210E-03,-2.82509190E-06,-2.89204130E-09,2.00461020E-12,-7.21511020E+04,1.04457036E+01,J,JANAF,No Additional Information Provided
BF3,-1135.6,1.7 ,7.02419850E+00,3.22215590E-03,-1.37051540E-06,2.59196710E-10,-1.81223100E-14,-1.39180720E+05,-1.11843009E+01,2.44682440E+00,1.52763120E-02,-1.07846170E-05,6.89075020E-10,1.48931870E-12,-1.37901350E+05,1.25678211E+01,J,JANAF,No Additional Information Provided
BH,442.7,8.4 ,2.89190790E+00,1.58329460E-03,-5.82617290E-07,1.02420680E-10,-6.76695690E-15,5.23287140E+04,3.79624329E+00,3.68622060E+00,-1.30554350E-03,2.67421050E-06,-9.10737380E-10,-1.55911360E-13,5.21763300E+04,-5.52454012E-02,J,JANAF,No Additional Information Provided
BF2H,-733.9,3.3 ,5.31845270E+00,4.74444660E-03,-1.93378580E-06,3.55083820E-10,-2.42936670E-14,-9.03750120E+04,-3.04314020E+00,2.40536020E+00,9.27558440E-03,1.33864610E-06,-8.68078950E-09,4.12110150E-12,-8.93884090E+04,1.28880442E+01,J,JANAF,No Additional Information Provided
BH2,201.0,63 ,3.36252850E+00,3.90128540E-03,-1.50975510E-06,2.66728050E-10,-1.77130530E-14,2.29190280E+04,1.25928259E+00,2.39582820E+00,7.47762600E-03,-7.20195140E-06,4.58263980E-09,-1.25106800E-12,2.31626500E+04,6.07647039E+00,J,JANAF,No Additional Information Provided
BH3,106.7,10 ,2.06217260E+00,7.26558950E-03,-2.75103370E-06,4.78037090E-10,-3.13342850E-14,1.19237530E+04,8.84945083E+00,3.94870330E+00,-5.21705430E-04,7.64811640E-06,-4.61486940E-09,5.63186160E-13,1.16188090E+04,-4.55174579E-02,J,JANAF,No Additional Information Provided
BO,0.0,8 ,3.15649560E+00,1.38165890E-03,-5.50496300E-07,9.91166780E-11,-6.41645460E-15,-1.03034220E+03,6.03748954E+00,3.72972500E+00,-2.08783240E-03,5.73628490E-06,-4.38948280E-09,1.09166320E-12,-1.06188590E+03,3.62554104E+00,J,JANAF,No Additional Information Provided
BClO,-316.3,29 ,5.71355660E+00,1.86646890E-03,-7.74878980E-07,1.43985720E-10,-9.93177450E-15,-3.99773530E+04,-4.88040355E+00,3.27053210E+00,1.02277500E-02,-1.20701630E-05,7.20255620E-09,-1.69147380E-12,-3.93782080E+04,7.34930225E+00,J,JANAF,No Additional Information Provided
BFO,-602.0,13 ,5.39296603E+00,2.07444500E-03,-7.93600586E-07,1.33476571E-10,-8.21779331E-15,-7.43113852E+04,-4.76500545E+00,2.23703738E+00,1.33495496E-02,-1.81530614E-05,1.36093676E-08,-4.24382397E-12,-7.35283735E+04,1.10069410E+01,J,JANAF,No Additional Information Provided
BF2O,-837.0,15 ,7.30772330E+00,2.99036200E-03,-1.30596170E-06,2.53082420E-10,-1.76873330E-14,-1.03345760E+05,-1.11924159E+01,1.74459770E+00,1.86932770E-02,-1.52461640E-05,2.65594700E-09,1.37986060E-12,-1.01867580E+05,1.73531391E+01,J,JANAF,No Additional Information Provided
BO2,-285.0,8 ,5.81984340E+00,1.86265740E-03,-8.13027970E-07,1.57358210E-10,-1.09442380E-14,-3.62551170E+04,-6.56090797E+00,3.12120480E+00,8.46808830E-03,-4.59722780E-06,-1.64200210E-09,1.66582330E-12,-3.54833070E+04,7.54789163E+00,J,JANAF,No Additional Information Provided
B2,829.7,33.5 ,5.23869155E+00,-5.23607507E-04,1.69704978E-07,-2.06549042E-11,9.41435925E-16,9.79873828E+04,-6.00742217E+00,3.79099744E+00,-5.87536359E-03,3.00514162E-05,-3.91439173E-08,1.60419428E-11,9.87229998E+04,3.43463203E+00,J,JANAF,No Additional Information Provided
B2O,96.0,105 ,4.73005380E+00,2.39414860E-03,-1.00083240E-06,1.86975100E-10,-1.29536720E-14,9.88533540E+03,-6.35851289E-01,3.52947300E+00,3.19938260E-03,3.03292570E-06,-5.74912550E-09,2.28473490E-12,1.03632010E+04,6.23963143E+00,J,JANAF,No Additional Information Provided
B2O2,-456.1,8.4 ,6.99385740E+00,3.59403930E-03,-1.47536110E-06,2.72251240E-10,-1.86959960E-14,-5.72961780E+04,-1.21677771E+01,3.68070780E+00,1.53611320E-02,-1.86060970E-05,1.21714510E-08,-3.24110180E-12,-5.64866470E+04,4.35612734E+00,J,JANAF,No Additional Information Provided
B2O3,-836.0,4.2 ,8.39941060E+00,4.74363380E-03,-1.95523040E-06,3.61877490E-10,-2.49072320E-14,-1.03571580E+05,-1.58100009E+01,3.66088370E+00,2.02620760E-02,-2.19473380E-05,1.22530040E-08,-2.70384020E-12,-1.02365240E+05,8.10622068E+00,J,JANAF,No Additional Information Provided
B3Cl3O3,-1632.0,8 ,1.92825640E+01,6.31725810E-03,-2.72429260E-06,5.20479100E-10,-3.66777900E-14,-2.03208830E+05,-6.78851521E+01,4.04449830E+00,5.42605970E-02,-5.57507610E-05,2.22231280E-08,-1.41812950E-12,-1.99416320E+05,9.05672255E+00,J,JANAF,No Additional Information Provided
B3F3O3,-2365.2,4.2 ,1.68586160E+01,8.86857540E-03,-3.78810580E-06,7.18704010E-10,-5.03769170E-14,-2.90931040E+05,-5.98587523E+01,3.07988610E+00,4.56365920E-02,-3.30988260E-05,2.55388390E-09,4.43587610E-12,-2.87122130E+05,1.14753917E+01,J,JANAF,No Additional Information Provided
B3H3O3,-1218.0,42 ,1.21201212E+01,1.22811209E-02,-4.60922487E-06,7.65824542E-10,-4.67623793E-14,-1.51648629E+05,-3.98918007E+01,2.76989078E+00,2.53425900E-02,1.22486701E-05,-3.73057611E-08,1.74556897E-11,-1.48431026E+05,1.15218019E+01,J,JANAF,No Additional Information Provided
B3H3O6,-2272.0,13 ,2.01535790E+01,1.30162860E-02,-5.06696190E-06,9.03082530E-10,-6.05324100E-14,-2.81040920E+05,-7.96763324E+01,-2.27051160E+00,8.70248940E-02,-9.15877140E-05,3.94453920E-08,-3.66660350E-12,-2.75695230E+05,3.25296526E+01,J,JANAF,No Additional Information Provided
BaO,-117.95,NaN,3.55502804E+00,1.95444826E-03,-1.45135366E-06,4.38035990E-10,-3.76904801E-14,-1.53106549E+04,7.55560778E+00,2.78388903E+00,6.15838284E-03,-9.25760577E-06,6.55343820E-09,-1.77963615E-12,-1.52198605E+04,1.09786578E+01,T,NaN,No Additional Information Provided
Br,111.86,0.055 ,0.20866945E+01,0.71459733E-03,-0.27080691E-06,0.41519029E-10,-0.23016335E-14,0.12857696E+05,0.90837335E+01,0.24820782E+01,0.18570465E-03,-0.64313029E-06,0.84642045E-09,-0.30137068E-12,0.12709455E+05,0.68740409E+01,J,JANAF,REF=ATCT A
BrCl,14.64,NaN,4.94407451E+00,-9.04227983E-04,5.97460034E-07,-1.22751767E-10,7.57259137E-15,2.29402149E+02,6.95986052E-01,2.91316204E+00,8.01066984E-03,-1.63333407E-05,1.52022507E-08,-5.27061456E-12,6.70852744E+02,1.04867475E+01,tpis,NaN,REF=ATCT A ; REF=JANAF 65
BrF,-58.85,NaN,4.70485660E+00,-4.93114310E-04,3.17567567E-07,-4.74173599E-11,1.33803517E-15,-8.59408850E+03,5.66622956E-01,2.77974859E+00,6.21877572E-03,-9.36181591E-06,6.67211180E-09,-1.82558967E-12,-8.11296109E+03,1.02094886E+01,tpis,NaN,No Additional Information Provided
BrF3,-255.6,3 ,9.20828836E+00,8.30392457E-04,-3.29835256E-07,5.68255169E-11,-3.55627443E-15,-3.37231773E+04,-1.76182105E+01,1.99378648E+00,3.61697802E-02,-6.89696747E-05,6.09279559E-08,-2.03597331E-11,-3.24449700E+04,1.59970023E+01,tpis,GURVICH 89. .,No Additional Information Provided
BrF5,-428.8,2 ,1.44221600E+01,1.65635753E-03,-6.58250468E-07,1.13445087E-10,-7.10133924E-15,-5.63413631E+04,-4.47395740E+01,-6.78291507E-01,7.69576912E-02,-1.49146145E-04,1.33361285E-07,-4.49679290E-11,-5.37154081E+04,2.53375233E+01,tpis,GURVICH 89 .,No Additional Information Provided
BrO,125.8,2.4 ,5.07219100E+00,-4.35812081E-04,1.75747890E-07,-2.82506168E-11,1.92290510E-15,1.35030084E+04,-1.08904614E+00,2.55466821E+00,6.43468019E-03,-2.95159758E-06,-4.90190824E-09,3.64995652E-12,1.41165412E+04,1.17071098E+01,T,M.W.CHASE JPCRD 25 (1996)  1069 .,No Additional Information Provided
BrO2,108.0,40. ,6.00363127E+00,9.92540840E-04,-3.82278926E-07,6.45667378E-11,-3.98629626E-15,1.10621232E+04,3.62860950E-02,5.09638120E+00,3.60676575E-03,-4.28370757E-06,3.72707925E-09,-1.47204500E-12,1.13407206E+04,4.78601414E+00,T,M.W.CHASE JPCRD 25 (1996)  1069 .,No Additional Information Provided
BrO3,221.0,50. ,8.69236256E+00,1.35841486E-03,-5.36468670E-07,9.20768329E-11,-5.74736730E-15,2.36159592E+04,-1.64447310E+01,1.49818242E+00,3.04080397E-02,-4.72006811E-05,3.49686979E-08,-1.00736007E-11,2.51344798E+04,1.84248093E+01,T,M.W.CHASE JPCRD 25 (1996)  1069 .,No Additional Information Provided
Br2,30.897,0.11 ,5.18742349E+00,-1.38674198E-03,9.34858666E-07,-2.07087532E-10,1.41823540E-14,2.10700879E+03,7.68476585E-02,3.34350669E+00,6.35013278E-03,-1.36341193E-05,1.31622796E-08,-4.67916478E-12,2.53514183E+03,9.07866893E+00,tpis,NaN,REF=ATCT A
Br2O,107.6,3.5 ,6.60036780E+00,4.19198661E-04,-1.66518672E-07,2.86896506E-11,-1.79550923E-15,1.08520131E+04,-2.99978832E+00,3.04140956E+00,1.75424857E-02,-3.28632899E-05,2.86038685E-08,-9.44453191E-12,1.14930042E+04,1.36453473E+01,T,M.W.CHASE JPCRD 25 (1996)  1069,No Additional Information Provided
BBr2P,-104.39,6.3 ,6.94729060E+00,6.01990010E-05,-2.65566850E-08,5.15960120E-12,-3.68370500E-16,-1.46454410E+04,1.18015799E+00,6.39020910E+00,2.52890500E-03,-4.19037430E-06,3.13675230E-09,-8.79767450E-13,-1.45417920E+04,3.81752929E+00,J,JANAF 1973,REF=GURVICH 1991
C,716.68,0.45 ,0.26055830E+01,-0.19593434E-03,0.10673722E-06,-0.16423940E-10,0.81870580E-15,0.85411742E+05,0.41923868E+01,0.25542395E+01,-0.32153772E-03,0.73379223E-06,-0.73223487E-09,0.26652144E-12,0.85442681E+05,0.45313085E+01,L,"C.E. MOORE ""SELECTED TABLES OF ATOMIC SPECTRA"" NSRDS-NBS SEC 3 (1970) P A6 I.",REF=ATCT A
C+,1809.444,NaN,2.50827618E+00,-1.04354146E-05,5.16160809E-09,-1.14187475E-12,9.43539946E-17,2.16879645E+05,4.31885990E+00,2.61332254E+00,-5.40148065E-04,1.03037233E-06,-8.90092552E-10,2.88500586E-13,2.16862274E+05,3.83454790E+00,g,"C.E. MOORE ""SELECTED TABLES OF ATOMIC SPECTRA"" NSRDS-NBS SEC 3 (1970) P A6 I.",REF=ATCT A
BrC,495.85,NaN,4.22276728E+00,2.88156903E-04,-1.13837110E-07,1.95419868E-11,-1.21993861E-15,5.82936956E+04,3.45831381E+00,2.86960998E+00,4.95324292E-03,-5.93796515E-06,2.93797020E-09,-4.07448826E-13,5.86073246E+04,1.01813191E+01,T,MARTIN & BURCAT JPC A 108 (2004) 7752,No Additional Information Provided
BrCClF2,-435.0,15 ,1.07966238E+01,2.26676279E-03,-8.90038695E-07,1.52198147E-10,-9.47616870E-15,-5.60746593E+04,-2.48667347E+01,2.10552027E+00,3.56772138E-02,-5.28319040E-05,3.84797478E-08,-1.11145080E-11,-5.41357072E+04,1.77301712E+01,tpis,GURVICH 91,No Additional Information Provided
BrCF3,-650.59,1.97 ,1.02441971E+01,2.82088779E-03,-1.10430609E-06,1.88474696E-10,-1.17193712E-14,-8.19308539E+04,-2.45567155E+01,1.92067214E+00,3.10919159E-02,-3.85950853E-05,2.31847352E-08,-5.46470390E-12,-7.99043849E+04,1.71123451E+01,ATcT,ATCT A,REF=GURVICH 91
Br2C,343.506,NaN,7.24933213E+00,-8.58902960E-04,5.63433533E-07,-9.47618492E-11,4.79033481E-15,3.89684139E+04,-6.85243356E+00,2.95655957E+00,1.69562062E-02,-3.03146341E-05,2.54004972E-08,-8.13473762E-12,3.99004119E+04,1.39613758E+01,T,JACOX AND GURVICH 1979.  MARTIN & BURCAT JPC 108 (2004) 7752,No Additional Information Provided
Br2CF2,-380.0,15 ,1.09382687E+01,2.12037940E-03,-8.32403094E-07,1.42324890E-10,-8.86069092E-15,-4.94636952E+04,-2.47517671E+01,2.86773869E+00,3.32789929E-02,-4.96372935E-05,3.65111014E-08,-1.06608303E-11,-4.76659753E+04,1.47813777E+01,RUS,GURVICH 91,No Additional Information Provided
Br3C,266.437,NaN,9.23234074E+00,7.99416503E-04,-3.16167102E-07,5.43171582E-11,-3.39266689E-15,2.90724613E+04,-1.27165464E+01,4.24874806E+00,2.27424021E-02,-3.91200366E-05,3.19712338E-08,-1.00758327E-11,3.00544432E+04,1.10469792E+01,T,JACOX  MARTIN & BURCAT JPC 108 (2004) 7752,No Additional Information Provided
Br4C,28.68,3.6 ,1.21245741E+01,9.15750324E-04,-3.63156485E-07,6.25001719E-11,-3.90854515E-15,1.04626368E+04,-2.67954406E+01,5.10358598E+00,3.39593343E-02,-6.24045027E-05,5.36483603E-08,-1.75710183E-11,1.17592386E+04,6.21074038E+00,T,MARTIN & BURCAT JPC 108 (2004) 7752 + SHIMANOUCHI,1
CCl,432.61,NaN,4.17004432E+00,3.81512193E-04,-1.31550106E-07,2.76232662E-11,-2.22142338E-15,5.06890146E+04,2.94940729E+00,3.76699432E+00,-1.49297520E-03,9.61147378E-06,-1.27137798E-08,5.27369513E-12,5.09118011E+04,5.66470872E+00,g,GURVICH 1991 POLYNOMIALS FROM ORIGINAL TABLE.  KUMARAN ET AL JPC A 101 (1997) 8653,No Additional Information Provided
CClF,25.876,30. ,5.94292685E+00,1.09262734E-03,-4.31688315E-07,7.39218712E-11,-4.51750496E-15,1.08570002E+03,-3.48119469E+00,2.95153844E+00,9.82190319E-03,-8.63478127E-06,1.86445560E-09,6.70154274E-13,1.86424703E+03,1.17893425E+01,g,JACOX 94  GURVICH 91 .,No Additional Information Provided
CClFO,-426.8,33 ,7.08810810E+00,3.18164790E-03,-1.37633160E-06,2.65440050E-10,-1.89289690E-14,-5.38837810E+04,-8.68499361E+00,1.70666610E+00,2.27225650E-02,-3.01156390E-05,2.04835660E-08,-5.65722280E-12,-5.26199020E+04,1.79876256E+01,J,JANAF,No Additional Information Provided
CClF2,-275.0,25 ,8.02826537E+00,2.01883629E-03,-7.90446242E-07,1.34920166E-10,-8.38987185E-15,-3.59242877E+04,-1.26213146E+01,2.23327502E+00,2.07400983E-02,-2.34004409E-05,1.18983365E-08,-2.08808316E-12,-3.44781789E+04,1.65915805E+01,tpis,TSIV 91,No Additional Information Provided
CClF3,-710.02,2.19 ,1.00910272E+01,2.97814049E-03,-1.16598694E-06,1.99015814E-10,-1.23754356E-14,-8.90715215E+04,-2.52797602E+01,1.20856943E+00,3.31175441E-02,-4.09170603E-05,2.42831659E-08,-5.60239796E-12,-8.69114408E+04,1.91836730E+01,ATcT,ATCT A,REF=GURVICH 91 ; REF=JANAF
CClN,137.95,NaN,5.49200210E+00,2.09872480E-03,-7.74159140E-07,1.38238820E-10,-9.23348640E-15,1.47491610E+04,-3.73046245E+00,3.33908540E+00,1.03974680E-02,-1.37046500E-05,9.50619620E-09,-2.59252600E-12,1.52375390E+04,6.83103255E+00,J,JANAF,No Additional Information Provided
CClO,-62.8,42 ,5.42912360E+00,1.61215350E-03,-6.60062800E-07,1.21271140E-10,-8.28586010E-15,-9.33050070E+03,3.82874056E-01,4.28637920E+00,5.08689800E-03,-5.07294110E-06,2.96479830E-09,-7.70934530E-13,-9.01252120E+03,6.25118670E+00,J,JANAF,No Additional Information Provided
CCl2,238.1,1.7 ,0.80836736E+01,-0.11686005E-02,0.47029320E-06,-0.81695078E-10,0.51447645E-14,0.25307376E+05,-0.14232761E+02,0.96645165E+00,0.26370954E-01,-0.34655778E-04,0.14693679E-07,-0.66489549E-13,0.26683995E+05,0.20047532E+02,IU,IUPAC 2003 RUSCIC ET AL JPCRD,No Additional Information Provided
CCl2F,-105.0,20 ,8.43494631E+00,1.61095820E-03,-6.32734606E-07,1.08218634E-10,-6.73872264E-15,-1.55335532E+04,-1.33240848E+01,2.48480800E+00,2.32678936E-02,-3.17729264E-05,2.09727276E-08,-5.43785295E-12,-1.41617230E+04,1.60941173E+01,RUS,TSIV 91,No Additional Information Provided
CCl2F2,-490.8,NaN,1.06592482E+01,2.40830053E-03,-9.45665269E-07,1.61716164E-10,-1.00690307E-14,-6.27802926E+04,-2.63364834E+01,1.43593509E+00,3.76738346E-02,-5.53363470E-05,3.99081002E-08,-1.14079923E-11,-6.07165307E+04,1.89063992E+01,g,GURVICH 91 .  TRC-6/89 MAX LST SQ ERRORCP,No Additional Information Provided
CCl2O,-219.493,NaN,7.86018378E+00,2.13271500E-03,-8.22077158E-07,1.38951133E-10,-8.58406653E-15,-2.91056423E+04,-1.19011907E+01,1.70787910E+00,2.89369464E-02,-4.93289116E-05,4.16910139E-08,-1.37057391E-11,-2.78350932E+04,1.76202114E+01,RUS,GURVICH 91,REF=ATCT A
CCl3,71.128,2.5104 ,8.86167674E+00,1.18055486E-03,-4.65765318E-07,7.98915627E-11,-4.98464418E-15,5.60193095E+03,-1.57461775E+01,2.66358332E+00,2.71296370E-02,-4.42402957E-05,3.46851463E-08,-1.05866977E-11,6.88202237E+03,1.41172615E+01,S,JANAF  HUDGENS ET AL JPC 95 (1991) 4400 .,No Additional Information Provided
CCl3F,-283.7,NaN,1.11913531E+01,1.87182223E-03,-7.37586831E-07,1.26418446E-10,-7.88344911E-15,-3.79341138E+04,-2.79829261E+01,1.78320835E+00,4.15078790E-02,-6.83507494E-05,5.43232731E-08,-1.68194876E-11,-3.59931694E+04,1.73140424E+01,g,GURVICH 91  TRC 6/89 .,No Additional Information Provided
CCl3O,-18.41,NaN,1.14909797E+01,1.56122123E-03,-6.15126171E-07,1.05428446E-10,-6.57464465E-15,-6.01860947E+03,-2.78463259E+01,2.24693874E+00,4.50634603E-02,-8.33966388E-05,7.30353534E-08,-2.44131851E-11,-4.28300968E+03,1.56894415E+01,T,BOZZELLI  JPC 105 (2001)  4504  NIST 2001,No Additional Information Provided
CCl4,-219.077,0.28 ,1.17390960E+01,1.28375530E-03,-4.96502590E-07,8.35250200E-11,-5.11072240E-15,-1.54190900E+04,-3.07909700E+01,5.79662990E+00,1.79774390E-02,-1.09565460E-05,-6.66818070E-09,6.45548980E-12,-1.39409650E+04,-5.70110920E-01,L,GURVICH 1991/MANION JPCRD 31(2002) 123.  ATCT A,NaN
CdO,NaN,NaN,3.94049716E+00,3.05762633E-03,-9.52036760E-07,1.60149611E-10,-1.09618875E-14,3.47656882E+03,3.86074826E+00,3.95151630E+00,-9.48107671E-04,1.00805008E-05,-1.02322511E-08,3.34361621E-12,3.71808874E+03,4.89958505E+00,IU,MARENICH & BOGGS JCP 107 (2003) 2343,No Additional Information Provided
CF,242.3,NaN,3.74644062E+00,8.01632001E-04,-2.95064248E-07,5.03803598E-11,-3.08738254E-15,2.84554882E+04,3.84191679E+00,3.99598712E+00,-4.62546013E-03,1.58270762E-05,-1.73528410E-08,6.45553921E-12,2.86045210E+04,3.67054970E+00,ATcT,JANAF CALCULATED FROM ORIGINAL TRC 6/88 TABLES  ATCT A,REF=GURVICH 91 ; REF=TRC 6/88
CF+,242.3,NaN,3.67563573E+00,8.53237936E-04,-3.05718490E-07,4.97729598E-11,-2.84072768E-15,1.34839163E+05,2.84780658E+00,3.58302425E+00,-1.86525968E-03,8.53751431E-06,-9.32468003E-09,3.33948856E-12,1.35018426E+05,4.07366057E+00,ATcT,JANAF 70  ATCT A,NaN
CFN,35.98,16.7 ,5.08985570E+00,2.41706840E-03,-9.76827660E-07,1.78134420E-10,-1.21185670E-14,2.57807810E+03,-2.87278107E+00,3.25169410E+00,8.30731440E-03,-8.36663580E-06,4.41256440E-09,-9.08824230E-13,3.05511980E+03,6.44214763E+00,J,JANAF,No Additional Information Provided
